Source,Type,Status,Content,Policy Date,Link,Notes
Alamance,Driver's Education Course,Ambiguous,Website,,https://www.abss.k12.nc.us/page/driver-education,
Alamance,Other,Ambiguous,District Board Policy,1/14/2025,https://boardpolicyonline.com/bl/?b=alamance_burlington_new&s=653279,JROTC
Alamance,Sports,Ambiguous,District Board Policy,8/25/2025,https://boardpolicyonline.com/bl/?b=alamance_burlington_new&s=1036762,
Alamance,K-12 Dual Enrollment inCore Academic Classes,Ambiguous,District Board Policy,8/25/2025,https://boardpolicyonline.com/bl/?b=alamance_burlington_new&s=1036762,
Alamance,Extracurricular Activities,Ambiguous,District Board Policy,8/25/2025,https://boardpolicyonline.com/bl/?b=alamance_burlington_new&s=1036762,
Alexander,Driver's Education Course,Ambiguous,Website,,https://www.alexander.k12.nc.us/departments/driver-education,
Alexander,K-12 Dual Enrollment inCore Academic Classes,Ambiguous,District Board Policy,7/20/2021,https://www.boardpolicyonline.com/bl/?b=alexander&s=364277,
Alexander,Other,Ambiguous,District Board Policy,11/12/2024,https://www.boardpolicyonline.com/bl/?b=alexander&s=364267,JROTC
Alexander,Sports,Ambiguous,District Board Policy,11/12/2024,https://www.boardpolicyonline.com/bl/?b=alexander&s=364252,
Alexander,Extracurricular Activities,Ambiguous,District Board Policy,11/12/2024,https://www.boardpolicyonline.com/bl/?b=alexander&s=364252,
Anson,Other,Ambiguous,District Board Policy,10/28/2024,https://boardpolicyonline.com/bl/?b=anson&s=139254,JROTC
Anson,Sports,Ambiguous,District Board Policy,5/19/2025,https://boardpolicyonline.com/bl/?b=anson&s=371404,
Ashe,Driver's Education Course,Ambiguous,Website,,https://ashs.asheschools.org/for-students/drivers-education,
Ashe,Driver's Education Course,Ambiguous,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Ashe,Access to School Space,Ambiguous,District Board Policy,6/27/2002,https://www.boardpolicyonline.com/bl/?b=ashe_county&s=1901576,
Ashe,Driver's Education Course,Ambiguous,District Board Policy,6/27/2002,https://www.boardpolicyonline.com/bl/?b=ashe_county&s=1901576,
Ashe,Sports,Ambiguous,District Board Policy,6/27/2002,https://www.boardpolicyonline.com/bl/?b=ashe_county&s=1901576,
Asheboro City,Driver's Education Course,Ambiguous,Other,1/24/2015,https://www.asheboro.k12.nc.us/downloads/winter%20retreat%201-24-15%20packet.pdf,Board of Education Winter Retreat
Asheboro City,Driver's Education Course,Ambiguous,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Asheboro City,Other,Ambiguous,District Board Policy,8/13/2020,https://www.boardpolicyonline.com/bl/?b=asheboro_city&s=2039650,JROTC
Asheboro City,Extracurricular Activities,Ambiguous,District Board Policy,8/14/2025,https://www.boardpolicyonline.com/bl/?b=asheboro_city&s=1801602,
Asheboro City,Sports,Ambiguous,District Board Policy,8/14/2025,https://www.boardpolicyonline.com/bl/?b=asheboro_city&s=1801602,
Asheville City,Driver's Education Course,Exclusive,Other,,https://wresa.org/drivers-education-registration/,
Asheville City,Other,Ambiguous,District Board Policy,12/9/2024,https://www.boardpolicyonline.com/bl/?b=asheville_city&s=918488,JROTC
Asheville City,Extracurricular Activities,Ambiguous,District Board Policy,12/9/2024,https://www.boardpolicyonline.com/bl/?b=asheville_city&s=918488,
Asheville City,Sports,Ambiguous,District Board Policy,12/9/2024,https://www.boardpolicyonline.com/bl/?b=asheville_city&s=918488,
Avery,Other,Exclusive,District Board Policy,4/8/2025,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3480/ACS/5526682/Clean_4_8_25_4120-Domicile_or_Residence_Requirements.pdf,JROTC
Avery,Sports,Exclusive,District Board Policy,7/15/2025,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3480/ACS/5883651/Clean_8_15_25_3620_Extra_Curricular_Activities_and_Student_Organizations_copy.pdf,
Avery,Extracurricular Activities,Exclusive,District Board Policy,7/15/2025,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3480/ACS/5883651/Clean_8_15_25_3620_Extra_Curricular_Activities_and_Student_Organizations_copy.pdf,
Beaufort,Driver's Education Course,Exclusive,Website,,https://ncdrivingschool.com/driver-education-for/#hs,
Beaufort,Eligibility Determination/IEP/504 Evaluation,Exclusive,Website,,https://www.beaufort.k12.nc.us/departments/curriculum-and-instruction/exceptional-children/project-child-find,
Beaufort,Other,Exclusive,District Board Policy,2/3/2025,https://www.boardpolicyonline.com/bl/?b=beaufort_nc&s=1413268,JROTC
